id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;instructionsUndersto;randomQuestions[Q1];randomQuestions[Q2];randomQuestions[Q3];randomQuestions[Q4];randomQuestions[Q5];randomQuestions[Q6];randomQuestions[Q7];randomQuestions[Q8];randomQuestions[Q9];randomQuestions[Q10];randomQuestions[Q11];randomQuestions[Q12];randomQuestions[Q13];randomQuestions[Q14];randomQuestions[Q15];randomQuestions[Q16];randomQuestions[Q17];randomQuestions[Q18];randomQuestions[Q19];randomQuestions[Q20];QDD1;assignNumbers;QDD2;QDD3;AllQuestionsS1[F1];AllQuestionsS1[F11];AllQuestionsS1[F12];AllQuestionsS1[F2];AllQuestionsS1[F21];AllQuestionsS1[F22];AllQuestionsS1[F23];AllQuestionsS1[F24];AllQuestionsS1[F3];AllQuestionsS1[F31];AllQuestionsS1[F32];AllQuestionsS1[F41];AllQuestionsS1[F42];AllQuestionsS1[N1];AllQuestionsS1[N2];AllQuestionsS1[N3];AllQuestionsS1[N4];AllQuestionsS2[F1];AllQuestionsS2[F11];AllQuestionsS2[F12];AllQuestionsS2[F2];AllQuestionsS2[F21];AllQuestionsS2[F22];AllQuestionsS2[F23];AllQuestionsS2[F24];AllQuestionsS2[F3];AllQuestionsS2[F31];AllQuestionsS2[F32];AllQuestionsS2[F41];AllQuestionsS2[F42];AllQuestionsS2[N1];AllQuestionsS2[N2];AllQuestionsS2[N3];AllQuestionsS2[N4];AllQuestionsS3[F1];AllQuestionsS3[F11];AllQuestionsS3[F12];AllQuestionsS3[F2];AllQuestionsS3[F21];AllQuestionsS3[F22];AllQuestionsS3[F23];AllQuestionsS3[F24];AllQuestionsS3[F3];AllQuestionsS3[F31];AllQuestionsS3[F32];AllQuestionsS3[F41];AllQuestionsS3[F42];AllQuestionsS3[N1];AllQuestionsS3[N2];AllQuestionsS3[N3];AllQuestionsS3[N4];AllQuestionsS4[F1];AllQuestionsS4[F11];AllQuestionsS4[F12];AllQuestionsS4[F2];AllQuestionsS4[F21];AllQuestionsS4[F22];AllQuestionsS4[F23];AllQuestionsS4[F24];AllQuestionsS4[F3];AllQuestionsS4[F31];AllQuestionsS4[F32];AllQuestionsS4[F41];AllQuestionsS4[F42];AllQuestionsS4[N1];AllQuestionsS4[N2];AllQuestionsS4[N3];AllQuestionsS4[N4];herdSize[decr];herdSize[main];herdSize[incr];statusQuo;QAttentionCheck[env];QAttentionCheck[market];QAttentionCheck[tax];QAttentionCheck[health];interviewtime;groupTime617;instructionsUnderstoTime;ProlificIDTime;randomQuestionsTime;groupTime615;QDD1Time;assignNumbersTime;groupTime618;QDD2Time;groupTime619;QDD3Time;groupTime621;AllQuestionsS1Time;groupTime620;AllQuestionsS2Time;groupTime622;AllQuestionsS3Time;groupTime616;AllQuestionsS4Time;groupTime624;herdSizeTime;statusQuoTime;groupTime623;QAttentionCheckTime
2;24/01/2025 09:05;10;en;893569074;24/01/2025 08:57;24/01/2025 09:05;Y;3;1;2;2;3;2;3;1;1;1;2;2;3;3;1;2;3;3;2;1;read;3  1  2  2  3  2  3  1  1  1  2  2  3  3  1  2  3  3  2  1;read;read;;AO05;;;;;;AO04;AO05;AO05;;;;AO02;;;;;;AO05;AO04;;AO05;;;;;AO05;;;;AO01;;;AO05;;;;AO05;;AO01;;;;;AO04;AO05;;;AO04;AO04;;;;;;;;;;;;;;;;;;AO01;AO01;AO01;AO05;Y;;;Y;438.96;16.92;;;;97.57;;;113.97;;71.08;;22.52;;32.16;;48.66;;5;;21.56;;;9.52;
7;24/01/2025 09:04;10;en;995712820;24/01/2025 08:58;24/01/2025 09:04;Y;4;3;2;1;1;1;3;2;4;2;2;2;2;2;2;1;2;1;2;1;read;4  3  2  1  1  1  3  2  4  2  2  2  2  2  2  1  2  1  2  1;read;read;;;;AO04;AO05;AO04;;;;;;;;;AO01;;AO01;;;AO05;;;;;AO05;;AO05;AO05;AO03;AO03;AO01;;AO01;;;AO05;;;;;AO01;;;;;;;;;;;AO05;;;;;;;;AO05;;;;;;;;;AO01;AO04;AO03;AO05;Y;Y;;Y;359.39;12.1;;;;69.78;;;75.69;;65.09;;27.31;;54.59;;13;;7.57;;20.95;;;13.31;
8;24/01/2025 09:05;10;en;1353923388;24/01/2025 08:58;24/01/2025 09:05;Y;3;1;3;4;3;3;4;1;1;1;1;3;1;2;2;3;2;4;2;1;read;3  1  3  4  3  3  4  1  1  1  1  3  1  2  2  3  2  4  2  1;read;read;;AO05;;;;;;AO05;AO05;AO05;AO05;AO05;;;;;;;;;;;;;;;;;;AO05;AO05;;AO01;;AO05;;AO05;;AO05;AO05;;;;;;;;;AO03;;;;;;AO05;;;AO05;;;;;;;;;;AO05;AO03;AO04;AO03;AO01;Y;Y;;Y;431.65;13.16;;;;72.19;;;65.69;;46.82;;15.22;;75.16;;51.1;;32.54;;48.25;;;11.52;
9;24/01/2025 09:09;10;en;57870195;24/01/2025 08:58;24/01/2025 09:09;Y;4;1;3;2;1;2;4;1;4;1;2;1;2;1;3;4;1;1;3;2;read;4  1  3  2  1  2  4  1  4  1  2  1  2  1  3  4  1  1  3  2;read;read;;AO05;;;AO04;;;AO04;;AO04;;;AO04;;;AO02;AO02;;;;AO05;;AO05;;;;;AO05;AO05;;;;;;;;AO05;;;;;;;;;;;AO02;;;;AO03;;;;;;AO05;;AO02;;;;;;AO05;;;AO02;AO03;AO04;AO01;Y;;;Y;662.84;27.72;;;;227.99;;;110.13;;75.99;;39.97;;42.19;;13.92;;39.81;;55.09;;;30.03;
10;24/01/2025 09:06;10;en;1024565096;24/01/2025 08:58;24/01/2025 09:06;Y;1;3;4;1;1;3;1;4;2;3;4;3;1;2;3;3;3;2;4;1;read;1  3  4  1  1  3  1  4  2  3  4  3  1  2  3  3  3  2  4  1;read;read;AO02;;;AO04;AO04;;AO04;;;;;AO02;;;;;;;;;;;;;;AO04;;;;AO04;;;;AO01;;AO03;;;;AO05;;;;AO03;;;;AO02;AO01;AO01;;;;AO03;;;;;AO04;;;AO05;;;;;;;AO02;AO04;AO03;AO02;Y;Y;;Y;484.92;14.75;;;;79.46;;;85.85;;77.02;;28.2;;74.88;;25.69;;12.47;;49.01;;;37.59;
11;24/01/2025 09:05;10;en;708870312;24/01/2025 08:58;24/01/2025 09:05;Y;1;3;1;2;1;2;3;2;2;3;3;4;2;3;3;1;3;1;2;2;read;1  3  1  2  1  2  3  2  2  3  3  4  2  3  3  1  3  1  2  2;read;read;AO03;;AO05;;AO04;;;;;;;;;;AO04;;AO02;;;;AO02;;AO04;;AO04;AO04;;;AO03;;;;;;;AO04;;;;;AO02;;;AO04;AO04;;AO02;AO03;;AO04;;;;;;;;;;;;;;;;;;;AO02;AO04;AO02;AO03;Y;;;Y;429.33;14.38;;;;67.01;;;70.79;;54.88;;28.02;;52.39;;69.51;;3.01;;57.7;;;11.64;
12;24/01/2025 09:03;10;en;754783564;24/01/2025 08:59;24/01/2025 09:03;Y;3;4;3;1;2;2;3;2;2;4;3;3;4;3;4;4;4;4;4;1;read;3  4  3  1  2  2  3  2  2  4  3  3  4  3  4  4  4  4  4  1;read;read;;;;AO02;;;;;;;;;;;;;;;;;;AO02;AO02;;AO04;AO05;;;;;;;;;AO02;;AO03;;;;AO02;;;;AO05;;AO02;;;;;;AO02;;;;;;;;AO05;;AO02;;AO02;AO04;AO02;AO04;AO03;AO03;AO03;AO03;;Y;;;257.16;15.26;;;;38.78;;;40.6;;35.95;;10.92;;22.68;;33.05;;33.55;;16.64;;;9.73;
13;24/01/2025 09:05;10;en;1835986905;24/01/2025 08:59;24/01/2025 09:05;Y;1;3;2;3;3;4;1;1;2;4;4;2;3;3;3;4;3;2;4;2;read;1  3  2  3  3  4  1  1  2  4  4  2  3  3  3  4  3  2  4  2;read;read;AO05;;;;;;AO03;AO05;;;;;;;;;;;;AO05;;;;;;AO05;;;;;;;;AO01;;AO05;;AO04;AO05;;;;;;;AO05;AO05;AO02;;AO03;;;;;;;AO01;;;;AO05;AO05;;;;AO03;;;AO01;AO03;AO03;AO04;Y;Y;;Y;367.48;15.11;;;;63.99;;;83.35;;50.85;;18.63;;15.54;;53.07;;21.3;;19.28;;;26.36;
14;24/01/2025 09:06;10;en;1885477577;24/01/2025 08:59;24/01/2025 09:06;Y;2;1;1;4;3;4;1;1;2;2;3;3;3;1;2;2;2;4;1;4;read;2  1  1  4  3  4  1  1  2  2  3  3  3  1  2  2  2  4  1  4;read;read;;AO05;AO05;;;;AO04;AO03;;;;;AO02;;;;;AO05;;;;;;;;AO05;AO04;;;;AO03;AO02;AO02;;;;;;AO04;;;;;;AO05;AO04;;;;;;;;;AO03;;AO05;;;;;;;;;;;AO02;AO03;AO04;AO02;AO04;Y;Y;;Y;432.68;10.85;;;;65.75;;;62.43;;30.31;;60.22;;75.22;;27.34;;45.54;;26.62;;;28.4;
15;24/01/2025 09:10;10;en;252193915;24/01/2025 08:59;24/01/2025 09:10;Y;2;4;2;2;2;2;1;1;2;3;4;1;4;4;3;3;4;4;1;1;read;2  4  2  2  2  2  1  1  2  3  4  1  4  4  3  3  4  4  1  1;read;read;;;;;;;AO02;AO05;;;;;;;;;;AO05;;AO05;AO05;AO05;AO05;;;AO02;;;;;;;;;;;;;;;;;;AO03;;;;AO02;AO03;;;;AO05;;;;;;;;;AO04;AO05;AO05;;;AO04;AO01;AO01;AO04;AO03;AO03;Y;;;Y;657.13;15.22;;;;138.87;;;149.18;;109.45;;18.23;;72.87;;21.44;;69.68;;49.55;;;12.64;
